编号,名称,百度词条,百度地址,百度置信度,维基词条,维基地址,维基置信度,待复核候选
1-0001-5-001,三元里平英团遗址,三元里平英团遗址,https://baike.baidu.com/view/418019.htm,exact,三元里平英团遗址,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%85%83%E9%87%8C%E5%B9%B3%E8%8B%B1%E5%9B%A2%E9%81%97%E5%9D%80,exact,
1-0002-5-002,金田起义地址,金田起义地址,https://baike.baidu.com/view/418028.htm,exact,金田起义地址,https://zh.wikipedia.org/wiki/%E9%87%91%E7%94%B0%E8%B5%B7%E4%B9%89%E5%9C%B0%E5%9D%80,exact,
1-0003-5-003,太平天国忠王府,太平天国忠王府,https://baike.baidu.com/view/418034.htm,exact,太平天国忠王府,https://zh.wikipedia.org/wiki/%E5%A4%AA%E5%B9%B3%E5%A4%A9%E5%9B%BD%E5%BF%A0%E7%8E%8B%E5%BA%9C,exact,
1-0004-5-004,韶山冲毛主席旧居,,,,韶山冲毛泽东同志故居,https://zh.wikipedia.org/wiki/%E9%9F%B6%E5%B1%B1%E5%86%B2%E6%AF%9B%E6%B3%BD%E4%B8%9C%E5%90%8C%E5%BF%97%E6%95%85%E5%B1%85,redirect,毛泽东同志故居 | https://baike.baidu.com/view/11503007.htm | different-title
1-0005-5-005,江孜宗山抗英遗址,江孜宗山抗英遗址,https://baike.baidu.com/view/418048.htm,exact,江孜宗山,https://zh.wikipedia.org/wiki/%E6%B1%9F%E5%AD%9C%E5%AE%97%E5%B1%B1,redirect,
1-0006-5-006,黄花岗七十二烈士墓,黄花岗七十二烈士墓,https://baike.baidu.com/view/48703.htm,exact,黄花岗公园,https://zh.wikipedia.org/wiki/%E9%BB%84%E8%8A%B1%E5%B2%97%E5%85%AC%E5%9B%AD,redirect,
1-0007-5-007,武昌起义军政府旧址,武昌起义军政府旧址,https://baike.baidu.com/view/313829.htm,exact,武昌起义军政府旧址,https://zh.wikipedia.org/wiki/%E6%AD%A6%E6%98%8C%E8%B5%B7%E4%B9%89%E5%86%9B%E6%94%BF%E5%BA%9C%E6%97%A7%E5%9D%80,exact,
1-0008-5-008,北京大学红楼,北京大学红楼,https://baike.baidu.com/view/418068.htm,exact,北京大学红楼,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%A4%A7%E5%AD%A6%E7%BA%A2%E6%A5%BC,exact,
1-0009-5-009,上海中山故居,,,,上海中山故居,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E4%B8%AD%E5%B1%B1%E6%95%85%E5%B1%85,exact,上海孙中山故居 | https://baike.baidu.com/view/64164.htm | different-title
1-0010-5-010,中国社会主义青年团中央机关旧址,中国社会主义青年团中央机关旧址,https://baike.baidu.com/view/64190.htm,exact,中国社会主义青年团中央机关旧址,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E9%9D%92%E5%B9%B4%E5%9B%A2%E4%B8%AD%E5%A4%AE%E6%9C%BA%E5%85%B3%E6%97%A7%E5%9D%80,exact,
